iteration=1
( N, 1, 0, R, 25):CRAFT=[-10.000]
( N, 1, 0, D, 25):STAY=[-6.800]
( E, 1, 0, R, 25):STAY=[-20.000]
( E, 1, 0, D, 25):HIT=[0.000]
( S, 1, 0, R, 25):STAY=[-4.250]
( S, 1, 0, D, 25):STAY=[0.000]
( W, 1, 0, R, 25):STAY=[0.000]
( W, 1, 0, D, 25):STAY=[0.000]
( C, 2, 0, R, 25):STAY=[-24.250]
( C, 2, 0, D, 25):STAY=[0.000]
( N, 2, 0, R, 25):CRAFT=[-10.000]
( N, 2, 0, D, 25):STAY=[-6.800]
( E, 2, 0, R, 25):STAY=[-20.000]
( E, 2, 0, D, 25):HIT=[0.000]
( S, 2, 0, R, 25):STAY=[-4.250]
( S, 2, 0, D, 25):STAY=[0.000]
( W, 2, 0, R, 25):STAY=[0.000]
( W, 2, 0, D, 25):STAY=[0.000]
( C, 0, 1, R, 25):SHOOT=[-17.500]
( C, 0, 1, D, 25):SHOOT=[15.000]
( N, 0, 1, R, 25):STAY=[-10.000]
( N, 0, 1, D, 25):STAY=[-6.800]
( E, 0, 1, R, 25):SHOOT=[-7.500]
( E, 0, 1, D, 25):SHOOT=[35.000]
( S, 0, 1, R, 25):STAY=[-4.250]
( S, 0, 1, D, 25):STAY=[0.000]
( W, 0, 1, R, 25):SHOOT=[2.500]
( W, 0, 1, D, 25):SHOOT=[2.500]
( C, 1, 1, R, 25):SHOOT=[-17.500]
( C, 1, 1, D, 25):SHOOT=[15.000]
( N, 1, 1, R, 25):CRAFT=[-10.000]
( N, 1, 1, D, 25):STAY=[-6.800]
( E, 1, 1, R, 25):SHOOT=[-7.500]
( E, 1, 1, D, 25):SHOOT=[35.000]
( S, 1, 1, R, 25):STAY=[-4.250]
( S, 1, 1, D, 25):STAY=[0.000]
( W, 1, 1, R, 25):SHOOT=[2.500]
( W, 1, 1, D, 25):SHOOT=[2.500]
( C, 2, 1, R, 25):SHOOT=[-17.500]
